"project_id","index","wp_identifier","wp_title"
"CONTRIBUTE/API-MOSAIC",0,"WP1","Implementing a REST API that securely queries the database."
"CONTRIBUTE/API-MOSAIC",1,"WP2","Setting up and deploying the web-interface in mosaic.ethz.ch."
"CONTRIBUTE/API-MOSAIC",2,"WP3","Testing and de-bugging the web-interface and API, outreach and dissemination activities of the utilities of MOSAIC v.2.0’s API."
"CONTRIBUTE/API-ROGER",0,"WP1","Merge the river (FRACTAL) and ocean (MOSAIC) databases into ROGER"
"CONTRIBUTE/API-ROGER",1,"WP2","Update and optimize the REST API to securely query the database"
"CONTRIBUTE/API-ROGER",2,"WP3","Adapt and improve the web-interface to include the river database"
"CONTRIBUTE/API-ROGER",3,"WP4","Implement the Python and R packages that query the database"
"CONTRIBUTE/BOOST4EPILEPSY",0,"WP1","Datasets: Collecting and Curating Epilepsy datasets"
"CONTRIBUTE/BOOST4EPILEPSY",1,"WP2","IOStandardisation: Standardisation of the input and output data formats"
"CONTRIBUTE/BOOST4EPILEPSY",2,"WP3","Methodology: Standardisation of methodology for algorithm assessment"
"CONTRIBUTE/BOOST4EPILEPSY",3,"WP4","Platform: Community online platform"
"CONTRIBUTE/BOOST4EPILEPSY",4,"WP5","Benchmark: Benchmarking algorithms"
"CONTRIBUTE/CATCHARACTPROVI",0,"WP1","Data Structure Analysis"
"CONTRIBUTE/CATCHARACTPROVI",1,"WP2","Data Processing"
"CONTRIBUTE/CATCHARACTPROVI",2,"WP3","Visualization"
"CONTRIBUTE/CATCHARACTPROVI",3,"WP4","Dissemination"
"CONTRIBUTE/ENVIPATH+EDGEBP",0,"WP1","Generate a biodegradation gene catalog"
"CONTRIBUTE/ENVIPATH+EDGEBP",1,"WP2","Train custom biodegradation gene HMMs"
"CONTRIBUTE/ENVIPATH+EDGEBP",2,"WP3","Provide a well-documented EDGEbp pipeline"
"CONTRIBUTE/ENVIPATH+EDGEBP",3,"WP4","Tune EDGEbp models with genomic data"
"CONTRIBUTE/ENVIPATH+EDGEBP",4,"WP5","Evaluate EDGEbp with metagenomic data"
"CONTRIBUTE/FACILITATE",0,"WP1","Implementing fully self-contained & executable project exports for RRP"
"CONTRIBUTE/FACILITATE",1,"WP2","Implementing an example use case based on a recent publication"
"CONTRIBUTE/FIRE",0,"WP1","Finish the translation of ECMAScript in Coq"
"CONTRIBUTE/FIRE",1,"WP1","Coq mechanization validation"
"CONTRIBUTE/FIRE",2,"WP2","Produce the executable reference implementation"
"CONTRIBUTE/FIRE",3,"WP2","Reference implementation cross-validation"
"CONTRIBUTE/FIRE",4,"WP3","Packaging and dissemination"
"CONTRIBUTE/FLAKE",0,"WP1","Data transfer protocol design & specifications"
"CONTRIBUTE/FLAKE",1,"WP2","Data transfer infrastructure set-up"
"CONTRIBUTE/FLAKE",2,"WP3","Validate the infrastructure reproducibility, ensure long-term accessibility"
"CONTRIBUTE/FLAKE",3,"WP4","Design of the QA/QC tool"
"CONTRIBUTE/FLAKE",4,"WP5","Implementation of the alpha-prototype of the QA/QC tool"
"CONTRIBUTE/FLAKE",5,"WP6","Testing and validation with the LP community"
"CONTRIBUTE/FLAKE",6,"WP7","Implementation of the beta-version of the QA/QC prototype"
"CONTRIBUTE/FLAKE",7,"WP8","Dissemination and planning for integration"
"CONTRIBUTE/GLOVDH",0,"WP1","Data Management and Storage"
"CONTRIBUTE/GLOVDH",1,"WP1","Data Inventory and Collection"
"CONTRIBUTE/GLOVDH",2,"WP1","Data Parsing and Database Implementation"
"CONTRIBUTE/GLOVDH",3,"WP1","Automated Data Retrieval"
"CONTRIBUTE/GLOVDH",4,"WP2","Web-based Data Query and Visualization"
"CONTRIBUTE/GLOVDH",5,"WP2","Web Interface Development"
"CONTRIBUTE/GLOVDH",6,"WP2","Plotting and Visualization Tools"
"CONTRIBUTE/GLOVDH",7,"WP3","Application Programming Interface (API) Integration"
"CONTRIBUTE/GLOVDH",8,"WP3","Basic API Functionality for Session Performance"
"CONTRIBUTE/GLOVDH",9,"WP3","Extended API Functionality for Observation Planning"
"CONTRIBUTE/GLOVDH",10,"WP4","Project Documentation and Dissemination"
"CONTRIBUTE/GPM-API",0,"WP1","Unit Testing"
"CONTRIBUTE/GPM-API",1,"WP2","Software documentation and tutorials"
"CONTRIBUTE/GPM-API",2,"WP3","Software distribution via conda-forge"
"CONTRIBUTE/GPM-API",3,"WP4","Manuscript preparation"
"CONTRIBUTE/GRAND TOUR",0,"WP1","Data Processing Pipeline"
"CONTRIBUTE/GRAND TOUR",1,"WP2","Deployment Phase"
